Name,URL,Category,License,Pricing,Execution Model,Tier,Evidence,Last Checked
Clawk,https://github.com/clawkwork/clawk,Coding Agent,,,,yellow,[NEW vs seed] [Active] Show HN 226/158 (2026-07-13). Disposable Linux VMs for coding agents (sandbox harness).,2026-09-06
CliDeck,https://github.com/clideck/clideck,Coding Agent,Open Source,Free,CLI,red,[Dead] github.com/clideck/clideck 404,2026-09-06
Cline,https://cline.bot/,Coding Agent,Open Source,Free,CLI,green,"[Active] HTTP 200 OK; title=Cline - AI Coding, Open Source and Uncompromised",2026-09-06
cmux,https://news.ycombinator.com/item?id=47079718,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK; title=Show HN: cmux - Ghostty-based terminal with vertical tabs and notifications | Hacker News | HTTP 200 OK; title=6 Practices that turned AI from prototyper to workhorse (106 PRs in 14 days) | Hacker News | HTTP 200 OK; title=Show HN: Lessons learned from running Claude Code swarms at scale | Hacker News | HTTP 200 OK; title=Ask HN: Are you using an agent orchestrator to write code? | Hacker News,2026-09-06
CodeBuddy Code,https://www.codebuddy.ai,Coding Agent,,,,yellow,"[QUALITY AUDIT 2026-09-06 → yellow] Listed intl URL returns 404 /banned; Tencent CodeBuddy still live on codebuddy.cn / copilot.tencent.com — demote for dead primary URL, not fully abandoned. | [NEW vs seed] [Active] Tencent Cloud CLI+IDE [lane4 live verify]",2026-09-06
Codebuff,https://codebuff.com,Coding Agent,Proprietary,Free,CLI,green,[Active] HTTP 200; redirects to https://www.codebuff.com/; title=Codebuff – AI Coding Assistant for Your Terminal,2026-09-06
CodeGeeX (智谱 CodeGeeX),https://codegeex.cn,Coding Agent,,,,green,"[NEW vs seed] [Active] Zhipu/Z.ai long-running IDE coding assistant (VS Code etc.), GLM-backed. Alive. Missing from seed.",2026-09-06
Codegen (ClickUp),https://codegen.com/,Coding Agent,Proprietary,Subscription,Cloud,yellow,[Acquired] codegen.com 200; acquired by ClickUp,2026-09-06
CodeLayer (HumanLayer),https://humanlayer.dev/code,Coding Agent,Open Source,Free / waitlist,Desktop,yellow,[NEW 2026-09-07] HumanLayer YC F24 CodeLayer IDE; early/waitlist,2026-09-07
CodeMender,https://deepmind.google/blog/introducing-codemender-an-ai-agent-for-code-security/,Coding Agent,Proprietary,Enterprise,Cloud,green,[Active] HTTP 200 OK; title=Introducing CodeMender: an AI agent for code security — Google DeepMind,2026-09-06
CodeMote,https://codemote.app,Coding Agent,Proprietary,Subscription,Cloud,red,[Dead] codemote.app NXDOMAIN; seed was Active,2026-09-06
CodeRabbit,https://coderabbit.ai/,Coding Agent,Open-Core,Freemium,Cloud,green,[Active] HTTP 200; redirects to https://www.coderabbit.ai/; title=AI Code Reviews | CodeRabbit | Try for Free.,2026-09-06
CodeWhale,https://github.com/Hmbown/CodeWhale,Coding Agent,,,,green,[NEW vs seed] [Active] Rust TUI coding agent [lane4 live verify],2026-09-06
Codex CLI,https://developers.openai.com/codex/cli,Coding Agent,Open Source,Pay-per-Use,Cloud,green,[Active] docs redirect to learn.chatgpt.com/docs/codex/cli 200,2026-09-06
Cody,https://sourcegraph.com/cody,Coding Agent,Proprietary,Free,IDE Extension,yellow,[Active] sourcegraph.com/cody -> docs/cody 200,2026-09-06
Conductor,https://www.conductor.build/,Coding Agent,Proprietary,Free local; Pro/Teams cloud,Hybrid,green,[NEW 2026-09-07] Melty successor; macOS parallel agents + Cloud; Series A Spark/Matrix Mar 2026,2026-09-07
Continue,https://www.continue.dev/,Coding Agent,Open Source,Free,CLI,green,[Acquired] continue.dev title says acquired by Cursor,2026-09-06
Continuum,https://continuumcode.ai/,Coding Agent,Proprietary,Free app (BYOK); optional hosted,Hybrid,green,[NEW 2026-09-07] Multi-device control plane; Mac/Win/Linux/web/iPhone Live Activities,2026-09-07
Cosine Genie,https://cosine.sh/,Coding Agent,Proprietary,Enterprise,Cloud,green,[Active] HTTP 200 OK; title=The Sovereign AI Lab | Cosine,2026-09-06
Crush,https://github.com/charmbracelet/crush,Coding Agent,,,,green,[NEW vs seed] [Active] Charmbracelet coding TUI [lane4 live verify],2026-09-06
Crystal,https://github.com/stravu/crystal,Coding Agent,Open Source,Free,Local,yellow,[QUALITY AUDIT 2026-09-06 → yellow] Crystal brand deprecated Feb 2026 and replaced by Nimbalyst; stravu/crystal last push 2026-02-26. Successor nimbalyst.com / Nimbalyst/nimbalyst is active but Crystal itself is not the product anymore. | [Active] HTTP 200 OK,2026-09-06
Cursor,https://cursor.com,Coding Agent,Proprietary,Free,IDE Extension,green,[Active] cursor.com 200; cloud/background agents exist,2026-09-06
Deep Agents,https://github.com/langchain-ai/deepagents,Coding Agent,,,,green,[NEW vs seed] [Active] LangChain coding harness [lane4 live verify],2026-09-06
DeepSeek Harness,https://github.com/deepseek-ai/DeepSeek-Harness,Coding Agent,,,,green,[NEW vs seed] [Active] DeepSeek OSS harness [lane4 live verify],2026-09-06
DevChat,https://devchat.ai,Coding Agent,Open Source,Free,IDE Extension,red,[QUALITY AUDIT 2026-09-06 → red] Abandoned: devchat.ai returns hollow ~114-byte HTML stub; GitHub last push 2025-03-12 (~18 months); VS Marketplace item 404. | [Active] HTTP 200 OK,2026-09-06
Devika,https://github.com/stitionai/devika,Coding Agent,Open Source,Free,Local,red,[QUALITY AUDIT 2026-09-06 → red] Abandoned: last push 2025-09-25 (~12 months); no meaningful product site; README points to successor Opcode; community marks abandoned. | [Active] HTTP 200 OK,2026-09-06
Devin,https://devin.ai,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] devin.ai alive (bot 429); Windsurf now Devin Desktop,2026-09-06
Devon,https://devon.ai,Coding Agent,Open Source,Free,CLI,yellow,[Active] devon.ai TLS fail; github.com/entropy-research/Devon 200,2026-09-06
ECC,https://github.com/affaan-m/ECC,Coding Agent,,,,green,[NEW vs seed] [Active] Trending harness [lane4 live verify],2026-09-06
Eigent,https://eigent.ai,Coding Agent,Open Source,Free,Local,green,[Active] HTTP 200; redirects to https://www.eigent.ai/,2026-09-06
Ellipsis,https://www.ellipsis.dev/,Coding Agent,Proprietary,Freemium,Cloud,green,[Active] HTTP 200 OK; title=Ellipsis | Managed Cloud for Coding Agents,2026-09-06
Emdash,https://emdash.ai,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200; redirects to https://emdash.com/; title=Emdash — Open-Source Agentic Development Environment,2026-09-06
Emergent,https://emergent.sh,Coding Agent,Proprietary,Free,Cloud,green,[Active] HTTP 200 OK; title=Emergent&#x27;s Dynamite Site,2026-09-06
Factory AI,https://factory.ai,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] factory.ai 200 Agent-Native Software Development,2026-09-06
Factory Droids,https://factory.ai/product/droids,Coding Agent,Proprietary,Enterprise,Cloud,green,[Active] factory.ai/product/droids 200; Droid CLI live,2026-09-06
Fine,https://fine.dev,Coding Agent,Proprietary,Subscription,Cloud,yellow,[Unknown] fine.dev HTTP 402,2026-09-06
Fitten Code,https://code.fittentech.com,Coding Agent,Proprietary,Freemium,IDE Extension,red,"[QUALITY AUDIT 2026-09-06 → red] Product site hollow (~1KB obfuscated stub, no title/content); fitten.cn/docs DNS fail; no 2026 activity — abandoned/vapor. | [Active] HTTP 200 OK",2026-09-06
Flare,https://github.com/AlgoNoRhythm/Flare,Coding Agent,MIT,Free,Desktop,yellow,[NEW 2026-09-07] Early OSS graph-first agentic IDE; PH this week,2026-09-07
FleetCode,https://github.com/built-by-as/FleetCode,Coding Agent,,,,yellow,[NEW vs seed] [Active] Show HN 103/52 (2025-10-08). OSS UI for running multiple coding agents.,2026-09-06
Flock,https://flock.dev,Coding Agent,Open Source,Free,Local,red,[QUALITY AUDIT 2026-09-06 → red] Domain flock.dev listed for sale on Spaceship; product gone. | [Active] HTTP 200 OK; title=flock.dev for sale | Spaceship.com,2026-09-06
Fray,https://fray.run/,Coding Agent,Proprietary,BYOK / hosted K8s,Cloud,yellow,[NEW 2026-09-07] K8s-native multi-agent coding orchestrator; early,2026-09-07
Freebuff,https://freebuff.com/,Coding Agent,Open Source,Free (ad-supported),Hybrid,green,[NEW 2026-09-07] CodebuffAI free tier CLI/Desktop/Web/Cloud; YC F24 family,2026-09-07
Gas Town,https://github.com/steveyegge/gastown,Coding Agent,Open Source,Free,CLI,yellow,[Active] github.com/steveyegge/gastown -> gastownhall/gastown 200; seed Caution,2026-09-06
Gastown,https://github.com/gastown-ai/gastown,Coding Agent,Open Source,Free,Self-Hosted,yellow,[Unknown] github.com/gastown-ai/gastown 404; steveyegge/gastown -> gastownhall/gastown 200,2026-09-06
Gemini CLI,https://geminicli.com/,Coding Agent,Open Source,Freemium,Cloud,green,[Pivoted] geminicli.com 200; consumer path transitioning to Antigravity CLI,2026-09-06
GitHub Copilot,https://github.com/features/copilot,Coding Agent,Proprietary,Freemium,Cloud,green,[Active] HTTP 200 OK,2026-09-06
Google Antigravity,https://antigravity.google/,Coding Agent,Proprietary,Subscription,Cloud,yellow,[Active] seed cloud.google.com/antigravity 404; antigravity.google 200,2026-09-06
Google Jules,https://github.com/google-labs-code/jules-sdk,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] seed is jules-sdk github; product jules.google 200,2026-09-06
Goose,https://goose-docs.ai/,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK; title=goose | Your open source AI agent,2026-09-06
GPT Engineer,https://gptengineer.app,Coding Agent,Open Source,Free,Cloud,yellow,[Pivoted] gptengineer.app redirects to lovable.dev,2026-09-06
gptel,https://github.com/karthink/gptel,Coding Agent,Open Source,Free (BYOK),Hybrid,green,[Active] HTTP 200 OK,2026-09-06
Graphite,https://graphite.com/,Coding Agent,Open-Core,Free,Cloud,yellow,[Acquired] graphite.com 200; acquired by Cursor 2025,2026-09-06
Greptile,https://www.greptile.com/,Coding Agent,Proprietary,Subscription,Self-Hosted,green,"[Active] HTTP 200 OK; title=AI Code Review | Greptile | Merge 4X Faster, Catch 3X More Bugs",2026-09-06
Grok Build,https://x.ai/build,Coding Agent,Open-Core,Pay-per-Use,Cloud,green,[Active] x.ai/build + github.com/xai-org/grok-build; also x.ai/cli. [Active] x.ai/cli -> x.ai/build 200; github.com/xai-org/grok-build 200,2026-09-06
Hermes Agent,https://github.com/NousResearch/hermes-agent,Coding Agent,,,,green,[NEW vs seed] [Active] Nous CLI agent [lane4 live verify],2026-09-06
Hive,https://github.com/nwyin/hive,Coding Agent,Open Source,Free,CLI,yellow,[QUALITY AUDIT 2026-09-06 → yellow] Obscure/thin GitHub-only multi-agent orchestrator; only 10★; last push 2026-05-29 (pre ~2026-06 activity bar); alpha README. | [Active] HTTP 200 OK,2026-09-06
HiveTerm,https://hiveterm.dev,Coding Agent,Proprietary,Free,Local,red,[Dead] hiveterm.dev NXDOMAIN,2026-09-06
Hoplite,https://hoplite.sh,Coding Agent,,,,green,[NEW vs seed] [Active] Launch HN YC S26 81/70 (2026-08-03). Cloud coding agents with custom harness and QA tooling.,2026-09-06
Huawei CodeArts Agent (华为云码道),https://codearts.huaweicloud.com,Coding Agent,,,,green,"[NEW vs seed] [Active] Huawei Cloud coding agent: IDE/extensions/CLI/Space, Agent Team, Codebase indexing, GLM/DeepSeek/Pangu routing. Commercializing mid-2026; intl open beta. Alive. Missing from seed.",2026-09-06
Hyperagent,https://hyperagent.so,Coding Agent,Proprietary,Subscription,Cloud,red,[Dead] hyperagent.so NXDOMAIN,2026-09-06
iFlyCode (讯飞星火 iFlyCode),https://www.xfyun.cn/solutions/iflycode,Coding Agent,,,,green,[NEW vs seed] [Active] iFlytek Spark-based intelligent programming assistant; agent-style chat + generation/tests/review. Alive. Missing from seed.,2026-09-06
Ito,https://ito.ai,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] HTTP 200; redirects to https://www.ito.ai/; title=Runtime Code Review That Runs Your App on Every PR | Ito,2026-09-06
jcode,https://github.com/1jehuang/jcode,Coding Agent,,,,green,[NEW vs seed] [Active] RAM-efficient harness [lane4 live verify],2026-09-06
Jean,https://jean.dev,Coding Agent,Open Source,Free,CLI,yellow,[Unknown] jean.dev TLS EOF,2026-09-06
JetBrains AI Assistant,https://www.jetbrains.com/ai-ides/,Coding Agent,Proprietary,Freemium,Cloud,green,[Active] HTTP 200 OK; title=AI in JetBrains IDEs,2026-09-06
Juggler,https://github.com/juggler-ai/juggler,Coding Agent,,,,yellow,[NEW vs seed] [Active] Show HN 280/119 (2026-07-12). OSS GUI coding agent by JUCE creator.,2026-09-06
Kilo Code,https://kilocode.ai,Coding Agent,Open Source,Free,IDE Extension,green,[Active] kilocode.ai -> kilo.ai 200,2026-09-06
Kimi Agent / OK Computer,https://www.kimi.com/agent,Coding Agent,,,,yellow,[NEW vs seed] [Active] Moonshot Kimi agent mode. Not in coding-agent seed as dedicated coding surface.,2026-09-06
Kimi CLI,https://github.com/MoonshotAI/kimi-cli,Coding Agent,,,,green,[NEW vs seed] [Active] Moonshot official CLI [lane4 live verify],2026-09-06
Kimi Code (Kimi Code CLI / 月之暗面),https://www.kimi.com/code,Coding Agent,,,,green,"[NEW vs seed] [Active] Moonshot AI terminal coding agent. Subagents, MCP, ACP IDE integration. Models K3 / K2.7 Code. MIT OSS. Alive. Missing from seed as dedicated product.",2026-09-06
Kimi Work (月之暗面 Kimi Work),https://www.kimi.com,Coding Agent,,,,yellow,[NEW vs seed] [Active] Moonshot desktop computer-use / work agent. Coding dedicated surface is Kimi Code. Yellow adjacent.,2026-09-06
Kiro,https://kiro.dev,Coding Agent,Proprietary,Free,IDE Extension,green,[Active] HTTP 200 OK; title=Kiro: Move beyond AI coding to agentic engineering,2026-09-06
Liner (라이너),https://liner.com,Coding Agent,,,,yellow,[NEW vs seed] [Active] Korea AI research/search agent with MCP for IDEs. Not a full coding IDE. Yellow adjacent.,2026-09-06
LogiCoal,https://logicoal.ai,Coding Agent,Proprietary,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Loopyard,https://loopyard.ai/,Coding Agent,AGPL,Free (self-host),Hybrid,green,[NEW 2026-09-07] Active AGPL multiplayer software-factory harness: agents set up Docker envs and code inside containers; loopyard.ai,2026-09-07
Lula,https://github.com/lula-ai/lula,Coding Agent,Open Source,Free,CLI,red,[Dead] github.com/lula-ai/lula 404,2026-09-06
Magic AI,https://magic.dev,Coding Agent,Proprietary,Subscription,Cloud,yellow,[Active] magic.dev 200,2026-09-06
MarsCode,https://www.marscode.com,Coding Agent,Proprietary,Free,IDE Extension,yellow,[Active] marscode.com 200; overlaps Trae lineage,2026-09-06
Meituan CatPaw (美团猫爪),https://catpaw.meituan.com,Coding Agent,,,,green,"[NEW vs seed] [Active] Meituan AI-native IDE / full-scenario Agent platform on LongCat models; Ask/Agent modes, MCP. Alive. Missing from seed.",2026-09-06
Melty,https://melty.sh,Coding Agent,Open Source,Free,IDE Extension,red,[QUALITY AUDIT 2026-09-06 → yellow] Melty brand abandoned/pivoted: melty.sh redirects to conductor.build; meltylabs/melty last push 2024-11. Successor Conductor is active but Melty itself is not the product anymore. | [Pivoted] melty.sh redirects to conductor.build | [2026-09-07] Successor Conductor now listed as separate green row (conductor.build). | [2026-09-07] Demoted yellow→red: melty.sh is only a redirect to conductor.build; Melty editor abandoned.,2026-09-07
Mentat (AbanteAI),https://github.com/AbanteAI/archive-old-cli-mentat,Coding Agent,Open-Core,Subscription,Cloud,yellow,[Pivoted] mentat.ai DNS fail; CLI archived per seed,2026-09-06
meridian,https://github.com/rynfar/meridian,Coding Agent,Open Source,Freemium,CLI,green,[Active] HTTP 200 OK,2026-09-06
MiMo Code,https://github.com/XiaomiMiMo/MiMo-Code,Coding Agent,,,,green,[NEW vs seed] [Active] Xiaomi official CLI [lane4 live verify],2026-09-06
MiniMax Code (稀宇 MiniMax Code),https://agent.minimaxi.com,Coding Agent,,,,green,"[NEW vs seed] [Active] MiniMax desktop AI agent with Coding/Work modes, local project tools, browser, remote control. M-series models. Alive. Missing from seed.",2026-09-06
Mistral Vibe,https://mistral.ai/vibe,Coding Agent,Open Source,Free,CLI,yellow,[Pivoted] mistral.ai/vibe -> chat.mistral.ai/chat,2026-09-06
Momentic AI,https://momentic.ai,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] HTTP 200 OK; title=AI Testing Platform for Web &amp; Mobile | Momentic,2026-09-06
Mozzie,https://mozzie.dev,Coding Agent,Proprietary,Free,Local,yellow,"[QUALITY AUDIT 2026-09-06 → yellow] Site alive but product is AI landing-page generator, not a coding agent; thin/mis-tiered for GREEN coding-agent list. | [Active] HTTP 200 OK; title=mozzie — beautiful AI landing pages in seconds",2026-09-06
Mutable AI,https://mutable.ai,Coding Agent,Proprietary,Free,Cloud,red,[Dead] mutable.ai DNS NXDOMAIN,2026-09-06
Neovate Code,https://github.com/neovateai/neovate-code,Coding Agent,,,,yellow,[NEW vs seed] [Active] Ant Group CLI [lane4 live verify],2026-09-06
Nimbalyst,https://nimbalyst.com/,Coding Agent,MIT,Free (individuals),Desktop,green,[NEW 2026-09-07] Active MIT visual workspace for Claude Code/Codex/OpenCode; desktop macOS/Win/Linux + iOS companion; github.com/Nimbalyst/nimbalyst,2026-09-07
Niteshift,https://docs.niteshift.dev/,Coding Agent,,,,green,[NEW vs seed] [Active] Cloud coding agent sessions with preview/browser automation; Slack/GitHub triggers; BYOA; GA Jun 2026 Greylock-backed.,2026-09-06
NXCode,https://www.nxcode.io,Coding Agent,Proprietary,Free,IDE Extension,yellow,"[QUALITY AUDIT 2026-09-06 → yellow] Site live with 2026 title but positions as 'AI App Builder | Build Apps Without Coding'—no-code app builder, thin/mis-tiered for GREEN coding-agent list. | [Active] HTTP 200 OK; title=AI App Builder | Build Apps Without Coding 2026 | NxCode",2026-09-06
Oh My OpenAgent,https://github.com/code-yeongyu/oh-my-openagent,Coding Agent,,,,green,[NEW vs seed] [Active] Multi-harness agent OS [lane4 live verify],2026-09-06
oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Oh-My-Pi,https://github.com/can1357/oh-my-pi,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
Omnara,https://omnara.app,Coding Agent,Proprietary,Free,Cloud,green,[Active] HTTP 200; redirects to https://www.omnara.com/; title=Omnara — The open-source alternative to Claude Managed Agents,2026-09-06
Ona,https://ona.com/docs,Coding Agent,Proprietary,Enterprise,Cloud,green,[Active] HTTP 200 OK; title=Overview - Ona Documentation,2026-09-06
Open Interpreter,https://github.com/OpenInterpreter/open-interpreter,Coding Agent,,,,green,[NEW vs seed] [Active] Local code-exec agent [lane4 live verify],2026-09-06
OpenAI Codex,https://openai.com/codex,Coding Agent,Proprietary,Subscription,Cloud,green,[Active] openai.com/codex 200,2026-09-06
OpenAI-sublime-text,https://github.com/yaroslavyaroslav/OpenAI-sublime-text,Coding Agent,Open Source,Free (BYOK),Hybrid,green,[Active] HTTP 200 OK,2026-09-06
OpenCode,https://opencode.ai/,Coding Agent,Open Source,Subscription,CLI,green,[Active] opencode.ai 200; seed Deprecated may be stale,2026-09-06
OpenRig,https://openrig.dev,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200; redirects to https://www.openrig.dev/; title=OpenRig — Local control plane for multi-agent coding topologies,2026-09-06
Orca,https://stably.ai/orca,Coding Agent,Proprietary,Free,Cloud,red,[Dead] stably.ai/orca 404; stably.ai root 200,2026-09-06
Paperclip,https://paperclipai-paperclip.mintlify.app/agents/overview,Coding Agent,,,,yellow,[NEW vs seed] [Active] Control-plane adapters/heartbeats for Claude Code/Codex and remote HTTP agents; early orchestration layer.,2026-09-06
Paseo,https://github.com/getpaseo/paseo,Coding Agent,Open Source,Free,CLI,green,[Active] HTTP 200 OK,2026-09-06
PearAI,https://pearai.app,Coding Agent,Open Source,Free,IDE Extension,yellow,[Active] pearai.app NXDOMAIN; trypear.ai 200,2026-09-06
Pi,https://github.com/badlogic/pi-mono,Coding Agent,,,,green,[NEW vs seed] [Active] Minimal coding harness [lane4 live verify],2026-09-06
Pieces for Developers,https://pieces.app,Coding Agent,Proprietary,Free,Local,green,[Active] HTTP 200 OK; title=Pieces — The AI memory layer for modern work,2026-09-06
